id;att;file_calib;file_phone;log;;;;
;;;soundlevel_2020-03-06_15.02.46.856.txt;;;;;
0;0;recording_freq1000_att0.mat;soundlevel_2020-03-06_15.04.23.159.txt;15.04;;;;
1;10;recording_freq1000_att10.mat;soundlevel_2020-03-06_15.05.48.255.txt;15.05;;;15.05;
2;20;recording_freq1000_att20.mat;soundlevel_2020-03-06_15.07.04.744.txt;15.06;;;15.06;
3;30;recording_freq1000_att30.mat;soundlevel_2020-03-06_15.08.27.737.txt;15.08;;;15.08;
4;40;recording_freq1000_att40.mat;soundlevel_2020-03-06_15.09.45.695.txt;15.09;;;15.09;
5;50;recording_freq1000_att50.mat;soundlevel_2020-03-06_15.10.48.749.txt;15.10;;;15.10;
6;0;recording_freq2000_att0.mat;soundlevel_2020-03-06_15.12.04.833.txt;15.13;;;15.13;same as  id 5
7;10;recording_freq2000_att10.mat;soundlevel_2020-03-06_15.13.23.039.txt;15.14;;;15.14;
8;20;recording_freq2000_att20.mat;soundlevel_2020-03-06_15.14.35.417.txt;15.15;;;15.15;
9;30;recording_freq2000_att30.mat;soundlevel_2020-03-06_15.15.37.876.txt;15.16;;;15.16;
10;40;recording_freq2000_att40.mat;soundlevel_2020-03-06_15.16.34.719.txt;15.17;;;15.17;
11;50;recording_freq2000_att50.mat;soundlevel_2020-03-06_15.17.42.873.txt;15.18;;;15.18;
12;0;recording_freq4000_att0.mat;soundlevel_2020-03-06_15.18.52.557.txt;;;;15.20;
13;10;recording_freq4000_att10.mat;soundlevel_2020-03-06_15.20.38.849.txt;;;;15.21;
14;20;recording_freq4000_att20.mat;soundlevel_2020-03-06_15.21.56.104.txt;;;;15.22;
15;30;recording_freq4000_att30.mat;soundlevel_2020-03-06_15.22.54.602.txt;;;;15.24;
16;40;recording_freq4000_att40.mat;soundlevel_2020-03-06_15.24.03.548.txt;;;;15.25;
17;50;recording_freq4000_att50.mat;soundlevel_2020-03-06_15.25.03.667.txt;;;;15.26;
18;0;recording_freq500_att0.mat;soundlevel_2020-03-06_15.26.12.874.txt;;;;15.27;
19;10;recording_freq500_att10.mat;soundlevel_2020-03-06_15.27.35.277.txt;;;;15.28;
20;20;recording_freq500_att20.mat;soundlevel_2020-03-06_15.28.52.874.txt;;;;15.30;
21;30;recording_freq500_att30.mat;soundlevel_2020-03-06_15.30.08.455.txt;;;;15.31;
22;40;recording_freq500_att40.mat;soundlevel_2020-03-06_15.31.14.752.txt;;;;15.32;
23;50;recording_freq500_att50.mat;soundlevel_2020-03-06_15.32.12.359.txt;;;;15.33;
24;0;recording_freq250_att0.mat;soundlevel_2020-03-06_15.33.18.165.txt;;;;15.34;
25;10;recording_freq250_att10.mat;soundlevel_2020-03-06_15.34.46.281.txt;;;;15.35;
26;20;recording_freq250_att20.mat;soundlevel_2020-03-06_15.36.00.105.txt;;;;15.37;
27;30;recording_freq250_att30.mat;soundlevel_2020-03-06_15.37.10.267.txt;;;;15.38;
28;40;recording_freq250_att40.mat;soundlevel_2020-03-06_15.38.14.619.txt;;;;15.39;
29;100;recording_freq250_att100.mat;soundlevel_2020-03-06_15.39.19.104.txt;;;;15.41;
30;200;recording_freq250_att200.mat;soundlevel_2020-03-06_15.40.46.563.txt;;;;15.42;
31;0;recording_freq1000_att0retest.mat;soundlevel_2020-03-06_15.41.47.976.txt;;;;15.44;
32;;;soundlevel_2020-03-06_15.42.47.650.txt;;;;;
33;;;soundlevel_2020-03-06_15.44.42.905.txt;;;;;
