yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.28.54.116, -74.43, -68.12, -71.81, -76.05, -48.04, -75.14, -75.08, -68.95, -71.97, -76.66, -48.23, -75.77, 241.00
2020-03-06_15.28.55.109, -71.86, -60.85, -65.57, -72.12, -40.84, -72.35, -72.77, -62.53, -67.12, -73.16, -43.44, -73.19, 241.00
2020-03-06_15.28.56.109, -85.61, -61.17, -70.05, -72.54, -68.08, -78.31, -81.01, -62.84, -71.22, -73.47, -65.92, -77.88, 241.00
2020-03-06_15.28.57.109, -78.01, -64.05, -70.56, -75.06, -49.00, -77.97, -76.32, -65.67, -70.16, -74.68, -50.41, -76.19, 241.00
2020-03-06_15.28.58.109, -88.50, -66.80, -87.96, -78.08, -75.37, -88.43, -86.61, -68.27, -85.97, -77.20, -73.81, -86.57, 241.00
2020-03-06_15.28.59.110, -88.64, -69.67, -88.37, -81.79, -76.19, -88.60, -86.37, -71.11, -85.58, -80.75, -74.62, -86.41, 241.00
2020-03-06_15.29.00.106, -79.20, -66.67, -71.35, -79.04, -53.36, -79.44, -77.20, -65.55, -70.17, -77.51, -51.08, -77.48, 241.00
2020-03-06_15.29.01.110, -88.67, -67.55, -81.80, -80.19, -74.96, -86.96, -86.88, -66.41, -79.17, -78.26, -74.48, -84.82, 241.00
2020-03-06_15.29.02.109, -88.61, -70.41, -88.48, -83.58, -75.92, -88.61, -85.96, -69.27, -83.20, -81.68, -72.78, -85.92, 241.00
2020-03-06_15.29.03.109, -88.63, -73.25, -88.41, -86.05, -76.13, -88.63, -87.27, -72.08, -86.70, -83.93, -75.65, -87.23, 241.00
2020-03-06_15.29.04.109, -68.39, -66.36, -66.49, -69.68, -60.30, -69.31, -65.12, -63.08, -63.22, -66.42, -57.14, -66.05, 241.00
2020-03-06_15.29.05.109, -66.46, -66.38, -66.43, -67.39, -62.08, -66.47, -63.19, -63.11, -63.16, -64.12, -58.86, -63.20, 241.00
2020-03-06_15.29.06.109, -66.48, -66.39, -66.45, -66.79, -62.03, -66.47, -63.21, -63.12, -63.18, -63.52, -59.08, -63.20, 241.00
2020-03-06_15.29.07.110, -66.48, -66.40, -66.45, -66.59, -62.03, -66.47, -63.21, -63.12, -63.18, -63.32, -58.95, -63.21, 241.00
2020-03-06_15.29.08.109, -66.47, -66.41, -66.45, -66.52, -61.98, -66.48, -63.20, -63.13, -63.18, -63.25, -58.95, -63.21, 241.00
2020-03-06_15.29.09.110, -66.46, -66.39, -66.44, -66.48, -61.92, -66.46, -63.19, -63.12, -63.17, -63.21, -58.85, -63.19, 241.00
2020-03-06_15.29.10.109, -66.46, -66.39, -66.43, -66.47, -62.06, -66.46, -63.19, -63.11, -63.16, -63.20, -59.11, -63.20, 241.00
2020-03-06_15.29.11.110, -66.46, -66.37, -66.42, -66.46, -61.91, -66.45, -63.19, -63.09, -63.15, -63.19, -59.04, -63.18, 241.00
2020-03-06_15.29.12.109, -66.46, -66.39, -66.43, -66.45, -62.15, -66.46, -63.19, -63.11, -63.16, -63.19, -58.94, -63.19, 241.00
2020-03-06_15.29.13.110, -66.45, -66.38, -66.43, -66.45, -61.92, -66.46, -63.18, -63.11, -63.16, -63.18, -58.96, -63.19, 241.00
2020-03-06_15.29.14.109, -66.44, -66.37, -66.42, -66.44, -62.10, -66.44, -63.17, -63.10, -63.15, -63.17, -58.90, -63.17, 241.00
2020-03-06_15.29.15.110, -66.45, -66.36, -66.42, -66.44, -61.98, -66.45, -63.18, -63.09, -63.15, -63.17, -58.89, -63.18, 241.00
2020-03-06_15.29.16.109, -66.45, -66.37, -66.42, -66.44, -62.13, -66.45, -63.18, -63.10, -63.15, -63.17, -58.95, -63.18, 241.00
2020-03-06_15.29.17.109, -66.46, -66.37, -66.42, -66.44, -62.06, -66.45, -63.19, -63.10, -63.15, -63.17, -59.02, -63.18, 241.00
2020-03-06_15.29.18.110, -66.46, -66.37, -66.43, -66.46, -61.92, -66.46, -63.19, -63.09, -63.16, -63.19, -59.07, -63.19, 241.00
2020-03-06_15.29.19.110, -67.83, -66.39, -66.43, -66.45, -62.09, -67.22, -64.57, -63.11, -63.16, -63.19, -58.97, -63.96, 241.00
2020-03-06_15.29.20.110, -88.58, -67.08, -75.75, -67.64, -74.15, -83.43, -87.26, -63.81, -72.53, -64.37, -75.41, -80.65, 241.00
2020-03-06_15.29.21.110, -88.58, -69.95, -88.38, -71.92, -76.28, -88.60, -87.05, -66.68, -86.69, -68.68, -74.89, -87.09, 241.00
