 yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.41.49.207, -72.97, -61.06, -65.94, -74.01, -39.64, -73.49, -73.61, -61.94, -66.64, -74.62, -40.16, -74.11, 0.00
2020-03-06_15.41.50.200, -74.20, -61.83, -69.26, -73.89, -44.78, -75.12, -74.55, -62.71, -70.39, -74.44, -46.31, -75.28, 246.00
2020-03-06_15.41.51.200, -85.00, -64.52, -69.83, -73.94, -63.27, -78.00, -81.61, -65.36, -70.91, -74.47, -64.11, -77.91, 246.00
2020-03-06_15.41.52.200, -78.51, -67.33, -72.78, -76.26, -55.17, -78.47, -74.32, -64.13, -68.20, -73.74, -51.33, -74.26, 245.00
2020-03-06_15.41.53.200, -88.53, -69.96, -87.83, -78.89, -75.63, -88.43, -86.39, -66.20, -85.44, -76.23, -73.70, -86.25, 245.00
2020-03-06_15.41.54.200, -88.71, -72.80, -88.53, -82.49, -75.47, -88.70, -86.94, -69.06, -86.36, -79.92, -74.31, -86.93, 245.00
2020-03-06_15.41.55.200, -88.60, -75.59, -88.36, -85.33, -74.02, -88.60, -85.47, -71.89, -84.57, -82.98, -72.98, -85.74, 245.00
2020-03-06_15.41.56.200, -76.64, -63.72, -68.54, -76.73, -51.58, -76.64, -74.75, -62.21, -66.99, -75.00, -50.81, -74.75, 246.00
2020-03-06_15.41.57.200, -88.68, -66.05, -88.02, -79.89, -76.06, -88.59, -86.39, -64.52, -83.08, -77.89, -71.61, -86.04, 245.00
2020-03-06_15.41.58.200, -88.54, -68.92, -88.31, -83.35, -76.26, -88.55, -87.09, -67.39, -86.47, -81.35, -74.67, -87.11, 245.00
2020-03-06_15.41.59.200, -88.63, -71.77, -88.38, -85.87, -76.18, -88.61, -87.20, -70.24, -86.78, -84.05, -75.60, -87.17, 245.00
2020-03-06_15.42.00.200, -88.61, -74.58, -88.44, -87.41, -74.34, -88.63, -87.22, -73.05, -86.73, -85.76, -75.01, -87.24, 245.00
2020-03-06_15.42.01.199, -88.63, -77.32, -88.47, -88.14, -75.65, -88.64, -87.08, -75.79, -86.78, -86.64, -73.61, -87.11, 245.00
2020-03-06_15.42.02.200, -88.65, -79.92, -88.50, -88.43, -75.50, -88.64, -87.04, -78.39, -86.67, -86.93, -75.00, -87.05, 245.00
2020-03-06_15.42.03.199, -88.74, -82.29, -88.56, -88.56, -75.48, -88.72, -87.17, -80.76, -86.83, -86.98, -74.75, -87.14, 245.00
2020-03-06_15.42.04.201, -88.61, -84.34, -88.49, -88.63, -75.10, -88.65, -87.27, -82.80, -86.89, -87.09, -75.30, -87.26, 245.00
2020-03-06_15.42.05.200, -88.50, -85.93, -88.12, -88.52, -73.75, -88.50, -87.30, -84.43, -86.83, -87.19, -74.12, -87.29, 245.00
2020-03-06_15.42.06.200, -88.57, -86.99, -88.41, -88.54, -76.18, -88.57, -87.06, -85.59, -86.54, -87.10, -74.46, -87.12, 245.00
2020-03-06_15.42.07.199, -88.57, -87.69, -88.32, -88.52, -75.42, -88.55, -86.92, -85.89, -86.64, -86.97, -74.44, -86.93, 245.00
2020-03-06_15.42.08.200, -88.56, -88.10, -88.40, -88.54, -75.83, -88.57, -86.89, -85.79, -86.46, -86.88, -74.59, -86.88, 245.00
2020-03-06_15.42.09.200, -88.58, -88.09, -88.40, -88.54, -75.58, -88.58, -86.85, -84.95, -86.14, -86.84, -74.28, -86.85, 245.00
2020-03-06_15.42.10.200, -88.63, -88.16, -88.43, -88.59, -75.46, -88.64, -87.16, -85.44, -86.74, -86.89, -75.55, -87.14, 245.00
2020-03-06_15.42.11.199, -88.58, -88.17, -88.38, -88.55, -76.14, -88.56, -87.29, -86.17, -86.83, -87.03, -75.02, -87.25, 245.00
2020-03-06_15.42.12.200, -88.44, -86.68, -87.74, -88.45, -75.16, -88.47, -86.79, -84.04, -85.50, -86.84, -71.56, -86.84, 246.00
2020-03-06_15.42.13.200, -88.64, -87.00, -88.39, -88.48, -75.60, -88.61, -87.33, -84.51, -86.87, -86.96, -73.67, -87.29, 245.00
